emotion,X1,X2
Anger,3.8052058550370993,1.3859849369082502
Anger,3.564742052147689,-1.0368807634012933
Anger,-2.07625512937466,-2.8404414714312285
Anger,1.2320342218156308,2.13428920283601
Anger,2.7110100245323334,1.7425669091784597
Anger,2.2280609852409112,2.6762634055464725
Anger,-2.690531815938634,2.784068853973393
Anger,5.292272427007408,1.888131777577673
Anger,3.0311705184969564,-3.470825677585675
Anger,1.70915900561522,0.6013485772961005
Anger,-1.0485684962125994,3.872940229827645
Fear,8.670029374407093,8.720596996400335
Fear,7.496349986840144,10.246924894504573
Fear,7.907308531429765,6.389451955393736
Fear,7.944334404545183,9.316810011859754
Fear,9.26023138688363,11.797291242723835
Fear,8.569887644845812,10.16459862462508
Fear,13.277449039175762,11.509929384218765
Fear,10.570981115030746,13.446841767875629
Fear,11.875839267819615,12.519489756307202
Fear,10.135625209143608,10.460915359824261
Fear,10.982941932721314,7.863859993204113
Joy,22.218812684363538,26.694658783957482
Joy,20.145665350525938,22.48646670597547
Joy,22.18747483115317,30.59392649187938
Joy,24.42718806186859,27.878335861159286
Joy,19.897677658059305,27.168495258998373
Joy,16.304704574473256,24.005273576200093
Joy,20.540253476084093,19.017644347949314
Joy,24.095788097366498,26.244398147907482
Joy,25.148180295605137,27.911991216269996
Joy,18.398316390274925,25.03750821715585
Joy,20.65354157783847,24.89227292857551
Neutral,31.032602153780118,39.9896098499128
Neutral,30.404960192873997,37.894566446504484
Neutral,35.45232642669911,35.44175863258123
Neutral,28.25325535671262,33.11017396990256
Neutral,29.038129551223303,35.39212064875658
Neutral,29.014481584565708,35.304359919351
Neutral,27.494733304628642,36.87867595403267
Neutral,29.52712040053524,38.46493917932105
Neutral,28.648944068300207,41.90032968870818
Neutral,30.6874168285019,39.54250506938132
Neutral,31.037571100133043,38.069184578848926
Sadness,45.330407268620476,36.294368851668295
Sadness,53.17744103423102,37.725536610858505
Sadness,48.05503225235231,44.495029577378595
Sadness,47.94928108738992,36.98363839812145
Sadness,49.73295184146916,37.56519074377483
Sadness,50.38391783242056,38.157458848273656
Sadness,45.96428020211272,42.13976489137694
Sadness,48.868982460073404,39.850786627236886
Sadness,51.03144205473748,39.78835013334607
Sadness,52.21854386283315,37.421545053690984
Sadness,50.71592978910504,39.36917481861207
