,,0,1
anger,0,6.961401116928806,-9.541792307984029
anger,1,4.622226444810956,-9.032085802139468
anger,2,7.4232809699344005,-9.257708963139768
anger,3,7.15005532611104,-8.095101536331516
anger,4,6.140173987895174,-9.616531575076978
anger,5,5.477663049024312,-10.033193135044097
anger,6,6.331059742830327,-6.972814294886732
anger,7,6.47147982627513,-8.878565846222653
anger,8,6.357845740443436,-8.32063166841651
anger,9,7.868392715213958,-9.409389317942713
anger,10,6.665264981483854,-8.578329334798902
fear,0,-6.651237066153428,4.832127201548979
fear,1,-6.811993501738994,5.571861552344231
fear,2,-7.56029384292103,4.069758796759189
fear,3,-7.185315335700359,5.313511945716738
fear,4,-7.516947973123841,4.3689510715645055
fear,5,-7.596253883276189,5.857882636594522
fear,6,-6.743054657489169,4.743607494653791
fear,7,-7.60571446468091,5.4889065044438965
fear,8,-8.098626921002886,5.223225037028035
fear,9,-7.021826937472328,7.142498991286127
fear,10,-7.657289528419942,4.720794234665409
joy,0,6.111992678904684,-7.627946727282885
joy,1,4.165139701955473,-7.238688092772127
joy,2,4.454904261323427,-6.662743341392126
joy,3,4.79575279114591,-7.460234766143552
joy,4,6.145324639957607,-5.899570761415757
joy,5,4.667317512172392,-7.4354971334295135
joy,6,4.0286894228295465,-7.382655259439443
joy,7,4.915962324831417,-8.117667658749344
joy,8,6.14942651069561,-7.3645055353703945
joy,9,4.913402885953047,-7.378550666186638
joy,10,3.5966339346917526,-6.501500615472022
neutral,0,4.366364455574883,0.4400728871557804
neutral,1,4.145823382428851,0.22349424140374113
neutral,2,3.349805717509571,0.5135009498138425
neutral,3,4.051741675638274,0.6795556182614172
neutral,4,4.909888277048375,0.14920273208725654
neutral,5,3.5456203918403233,-0.5334086973543817
neutral,6,3.7746673263195323,-0.4304568231087248
neutral,7,3.911551241942507,-0.47970910147729495
neutral,8,4.759500314612999,0.27853432604947304
neutral,9,5.1080902465336875,0.8039022720600913
neutral,10,2.913738518492978,0.04455114867808571
sadness,0,-5.920466394736154,8.24423936259814
sadness,1,-6.27299879588865,7.844122421762638
sadness,2,-5.621906374557789,8.311524250847215
sadness,3,-6.595131420015841,6.673454240458231
sadness,4,-5.523602364194573,6.755471111415706
sadness,5,-7.345141202456592,6.914944750011791
sadness,6,-6.650639574006464,7.095883306729279
sadness,7,-5.564621571038918,7.005282731060969
sadness,8,-6.155264578873134,7.453757797418452
sadness,9,-6.179508499410603,7.562909331607507
sadness,10,-5.703940365256688,6.891930378408597
